party,first name,surname,Region,First pref,Count
FG,Noel,McCARTHY,CORK EAST,11.2,12
FF,Charlie,McCONALOGUE,DONEGAL,10.5,16
FF,Tony,McCORMACK,OFFALY,17,7
SF,Mary Lou,McDONALD,DUBLIN CENTRAL,19.5,3
FG,Helen,McENTEE,MEATH EAST,19.9,5
SF,Donna,McGETTIGAN,CLARE,12.9,16
FF,Séamus,McGRATH,CORK SOUTH-CENTRAL,12.4,10
IND,Mattie,McGRATH,TIPPERARY SOUTH,24.4,2
FF,Erin,McGREEHAN,LOUTH,9.1,20
FF,John,MCGUINNESS,CARLOW-KILKENNY,14,11
SF,Denise,MITCHELL,DUBLIN BAY NORTH,13.7,11
IND,Kevin Boxer,MORAN,LONGFORD-WESTMEATH,13,14
FF,Aindrias,MOYNIHAN,CORK NORTH-WEST,18.8,6
FF,Michael,MOYNIHAN,CORK NORTH-WEST,17.9,6
FF,Shane,MOYNIHAN,DUBLIN MID-WEST,10,13
FF,Jennifer,MURNANE O'CONNOR,CARLOW-KILKENNY,11.6,16
FG,Michael,MURPHY,TIPPERARY SOUTH,20.4,6
PBP-SOL,Paul,MURPHY,DUBLIN SOUTH-WEST,7.6,11
IND,Verona,MURPHY,WEXFORD,21.6,1
SF,Johnny,MYTHEN,WEXFORD,14.5,11
LAB,Ged,NASH,LOUTH,11.9,20
FG,Hildegarde,NAUGHTON,GALWAY WEST,10,14
FG,Joe,NEVILLE,KILDARE NORTH,9.7,12
SF,Natasha,NEWSOME DRENNAN,CARLOW-KILKENNY,7.9,16
SF,Shónagh,Ní RAGHALLAIGH,KILDARE SOUTH,16.9,12
IND,Carol,NOLAN,OFFALY,22.2,5
SF,Eoin,Ó BROIN,DUBLIN MID-WEST,20.8,1
FF,Seán,Ó FEARGHAÍL,CEANN COMHAIRLE AUTOMATICALLY RETURNED TO DÁIL,Automatic,0
SF,Donnchadh,Ó LAOGHAIRE,CORK SOUTH-CENTRAL,11.1,16
FG,Naoise,Ó MUIRÍ,DUBLIN BAY NORTH,9.1,14
SF,Ruairí,Ó MURCHÚ,LOUTH,13.7,16
SF,Aengus,Ó SNODAIGH,DUBLIN SOUTH-CENTRAL,12,15
FF,Darragh,O'BRIEN,DUBLIN FINGAL EAST,23.5,7
FF,Jim,O'CALLAGHAN,DUBLIN BAY SOUTH,13.9,10
SD,Cian,O'CALLAGHAN,DUBLIN BAY NORTH,14.9,8
FG,Maeve,O'CONNELL,DUBLIN RATHDOWN,13.1,10
FF,James,O'CONNOR,CORK EAST,12.3,10
FF,Willie,O'DEA,LIMERICK CITY,19.5,6
FG,Kieran,O'DONNELL,LIMERICK CITY,14.5,10
LAB,Robert,O'DONOGHUE,DUBLIN FINGAL WEST,16.7,6
II,Richard,O'DONOGHUE,LIMERICK COUNTY,23.1,9
FG,Patrick,O'DONOVAN,LIMERICK COUNTY,25.4,1
II,Ken,O'FLYNN,CORK NORTH-CENTRAL,9.7,14
GP,Roderic,O'GORMAN,DUBLIN WEST,6.6,13
SF,Louis,O'HARA,GALWAY EAST,13.8,11
FF,Ryan,O'MEARA,TIPPERARY NORTH,12.4,10
SF,Louise,O'REILLY,DUBLIN FINGAL WEST,23.1,4
SF,Darren,O'ROURKE,MEATH EAST,16.4,10
FG,John Paul,O'SHEA,CORK NORTH-WEST,17.7,6
FF,Pádraig,O'SULLIVAN,CORK NORTH-CENTRAL,13,12
FF,Christopher,O'SULLIVAN,CORK SOUTH-WEST,19.3,11
SD,Liam,QUAIDE,CORK EAST,10,12
SF,Maurice,QUINLIVAN,LIMERICK CITY,14.1,13
SD,Pádraig,RICE,CORK SOUTH-CENTRAL,8.6,18
FG,Neale,RICHMOND,DUBLIN RATHDOWN,20.6,1
FG,Peter,ROCHE,GALWAY EAST,10.2,11
FF,Eamon,SCANLON,SLIGO-LEITRIM,10.4,13
LAB,Conor,SHEEHAN,LIMERICK CITY,6.5,15
LAB,Marie,SHERLOCK,DUBLIN CENTRAL,7.5,11
FF,Brendan,SMITH,CAVAN-MONAGHAN,9.6,14
LAB,Duncan,SMITH,DUBLIN FINGAL EAST,14.2,11
FF,Niamh,SMYTH,CAVAN-MONAGHAN,8.4,14
IND,Brian,STANLEY,LAOIS,17.7,8
SF,Fionntán,Ó SÚILLEABHÁIN,WICKLOW-WEXFORD,20.2,6
FG,Edward,TIMMINS,WICKLOW,5.3,13
AON,Peadar,TÓIBÍN,MEATH WEST,20.1,4
IND,Gillian,TOOLE,MEATH EAST,8.9,13
FF,Robert,TROY,LONGFORD-WESTMEATH,13.1,15
LAB,Mark,WALL,KILDARE SOUTH,15.5,12
SF,Mark,WARD,DUBLIN MID-WEST,11.2,9
FG,Barry,WARD,DÚN LAOGHAIRE,15,7
100%RDR,Charles,WARD,DONEGAL,9,16
